subgroup,date,approval,disapproval
Adults,2021-05-23,51.097311,37.68849
Adults,2021-05-24,53.501211,42.28399
Adults,2021-05-24,52.501211,41.28399
Adults,2021-05-26,52.501211,40.28399
Adults,2021-05-25,53.341733,38.554509
Adults,2021-05-27,52.501211,40.28399
Adults,2021-05-26,50.341733,40.554509
Adults,2021-05-28,52.501211,40.28399
Adults,2021-05-29,52.501211,40.28399
Adults,2021-05-30,52.501211,40.28399
Adults,2021-05-29,54.501211,39.28399
Adults,2021-05-27,50.599078,44.100237
Adults,2021-05-28,53.118673,35.326538
Adults,2021-05-31,52.501211,40.28399
Adults,2021-06-01,51.501211,40.28399
Adults,2021-06-02,51.501211,40.28399
Adults,2021-06-01,51.341733,39.554509
Adults,2021-06-03,51.501211,40.28399
Adults,2021-06-04,51.501211,41.28399
Adults,2021-06-05,51.501211,41.28399
Adults,2021-06-06,51.501211,41.28399
Adults,2021-06-03,52.599078,42.100237
Adults,2021-06-07,51.501211,41.28399
Adults,2021-06-06,51.097311,37.68849
Adults,2021-06-08,50.501211,41.28399
Adults,2021-06-09,50.501211,41.28399
Adults,2021-06-08,49.501211,43.28399
Adults,2021-06-07,52.501211,42.28399
Adults,2021-06-10,50.501211,41.28399
Adults,2021-06-08,51.341733,39.554509
Adults,2021-06-11,51.501211,41.28399
Adults,2021-06-12,51.501211,41.28399
Adults,2021-06-18,55.216568,40.69264
Adults,2021-06-13,51.501211,41.28399
Adults,2021-06-10,53.599078,40.100237
Adults,2021-06-14,50.501211,41.28399
Adults,2021-06-14,48.51906,42.186114
Adults,2021-06-15,51.501211,41.28399
Adults,2021-06-14,51.40808,43.589001
Adults,2021-06-15,52.661551,41.265664
Adults,2021-06-16,51.501211,41.28399
Adults,2021-06-17,53.599078,41.100237
Adults,2021-06-15,49.341733,42.554509
Adults,2021-06-17,51.501211,41.28399
Adults,2021-06-18,51.501211,41.28399
Adults,2021-06-19,51.501211,41.28399
Adults,2021-06-19,54.501211,40.28399
Adults,2021-06-19,48.849432,41.091276
Adults,2021-06-17,50.599078,42.100237
Adults,2021-06-20,51.501211,40.28399
Adults,2021-06-21,52.501211,40.28399
Adults,2021-06-22,52.501211,41.28399
Adults,2021-06-20,49.097311,39.68849
Adults,2021-06-20,50.434959,43.77438
Adults,2021-06-23,51.501211,41.28399
Adults,2021-06-24,51.501211,41.28399
Adults,2021-06-22,51.341733,39.554509
Adults,2021-06-23,56.501211,40.28399
Adults,2021-06-25,51.501211,41.28399
Adults,2021-06-24,51.341733,42.554509
Adults,2021-06-26,51.501211,41.28399
Adults,2021-06-24,56.501211,40.28399
Adults,2021-06-24,51.599078,40.100237
Adults,2021-06-27,51.501211,41.28399
Adults,2021-06-28,51.501211,41.28399
Adults,2021-06-29,51.501211,41.28399
Adults,2021-06-29,51.045968,41.773975
Adults,2021-06-30,51.501211,41.28399
Adults,2021-07-01,51.501211,41.28399
